Organisation Data ID,City,Organisation Name,Remarks,Blacklist Reason
82,,,,Not Found
84,,,,Not Found
85,,,,Not Found
83,,,,Not Found
86,,,,Not Found
89,,,,Not Found
88,,,,Not Found
87,,,,Not Found
90,,,,Not Found
91,,,,Not Found
92,,,,Not Found
93,,,,Not Found
94,,,,Not Found
95,,,,Not Found
96,,,,Not Found
99,,,,Not Found
97,,,,Not Found
98,,,,Not Found
100,,,,Not Found
101,,,,Not Found
103,,,,Not Found
102,,,,Not Found
105,,,,Not Found
104,,,,Not Found
106,,,,Not Found
107,,,,Not Found
108,,,,Not Found
109,,,,Not Found
110,,,,Not Found
111,,,,Not Found
115,,,,Not Found
113,,,,Not Found
112,,,,Not Found
114,,,,Not Found
116,,,,Not Found
118,,,,Not Found
117,,,,Not Found
119,,,,Not Found
120,,,,Not Found
121,,,,Not Found
122,,,,Not Found
123,,,,Not Found
124,,,,Not Found
125,SUBANG JAYA,ANIMASIA STUDIO SDN BHD (SUNWAY),Email:job@animasia-studio.com,not suitable
126,,,,Not Found
128,,KHALIFAH PRODUCTION,Email : info@khalifaproduction.com,not suitable
127,,,,Not Found
129,,MDOORA INTERACTIVE SDN BHD,Email : alexgoh@mdoora.com  ,no track record
130,,TECHNOLOGY PARK MALAYSIA CORPORATION SDN BHD,,Not Found
131,,METROLOGY SDN BHD,,not suitable
132,,SMART LAB SDN BHD,,Not Found
133,,IN-FUSION SOLUTION SDN BHD,Email : hamid@k-force.com.my,no track record
134,,I PROTOCOL VENTURES SDN BHD,,no track record
135,KUALA LUMPUR,ACCELTEAM SDN BHD,,Not Found
136,,,,Not Found
137,,EIS SERVICE (M) SDN BHD,,no track record
138,KUALA LUMPUR,MIMOS BERHAD (WP KUALA LUMPUR),Not Found,Not Found
140,KUALA LUMPUR,PETRONAS DIGITAL SDN BHD (BANGI DATA CENTRE),"PENEMPATAN DI BANGI DATA CENTRE, PETRONAS LEADERSHIP CENTRE, JALAN INSTITUSI, KAWASAN INSTITUSI BANGI, 43000 KAJANG, SELANGOR",Not Found
139,"SUBANG JAYA,",HEITECH PADU BERHAD,The selection criteria for the candidates must be with at least CGPA of 3.0 and above.,Not Found
141,PENANG,INTEL TECHNOLOGY SDN BHD PENANG,Not Found,Not Found
142,,PORTAL  ONE SDN BHD,(UP: Edwin Dang Thor Leong),Not Found
144,,MULTI MEDIA SYNERGY CORPORATION,,Not Found
145,,IC MIROSYSTEMS SDN BHD,,Not Found
143,,MILLENNIUM  PARTNERS (M) SDN BHD,,not suitable     
146,BUKIT JALIL,ASTRO MEASAT BROADCAST NETWORK SYSTEM SDN BHD,Not Found,Not Found
147,,YUS SDN BHD,,Not Found
148,KUALA LUMPUR,PETRONAS CARIGALI SDN BHD,Not Found,Not Found
149,,PETRA ENERGY BERHAD,,not suitable
150,KUALA LUMPUR,ACCENTURE SOLUTION SDN BHD,Not Found,Not Found
151,,CATAPULT ANIMATION STUDIOS,,not suitable
152,,,,Not Found
154,,LMS TECHNOLOGY DISTRIBUTION,,Not Found
155,CYBERJAYA,T-SYSTEMS MALAYSIA SDN. BHD,Not Found,Not Found
153,BANGI,ADAMAT SYSTEM SDN BHD,,no track record
156,,IBM MALAYSIA SDN BHD,Online application,Not Found
157,,VERITY SOLUTIONS SDN BHD,UP: Cynthea Thoo,no track record
159,CYBERJAYA,XENTRAL METHODS SDN BHD,,Not Found
160,PUCHONG,OFCOM SOLUTION SDN BHD,,Not Found
158,,,,Not Found
161,KUALA LUMPUR,MCSB SOFTWARE (M) BERHAD,,Not Found
162,PETALING JAYA,FUSIONEX CORP SDN BHD,,Not Found
163,KUALA LUMPUR,AIMS CYBERJAYA SDN BHD,,no track record
164,KUALA LUMPUR,ZALORA MALAYSIA,Online application thru website,Not Found
165,,JUST SIMPLE (M) SDN BHD,,no track record
166,,ATX (M) SDN BHD,,no track record
167,KUALA LUMPUR,EXACT ASIA DEVELOPMENT CENTRE SDN BHD,The application for internship must made through website,Not Found
168,,SDN BHD XEERSOFT,,no track record
170,,,,Not Found
169,,,,Not Found
171,,,,Not Found
172,,MEDIA PRIMA,EXT 5334,Not Found
174,SERI KEMBANGAN,SIGNIFICANT TECHNOLOGIES SDN BHD,,Not Found
173,CYBERJAYA,MYSOFT CORPORATION,,Not Found
175,,WEB DEV (M)SDN BHD,,not suitable
176,,MANTRA INTERACTIVE  SDN BHD,,not suitable
177,,NEOWAVE SOLUTIONS SDN BHD,e-commerce solutions company. Our mission is to provide solutions for businesses to run their operations.,Not Found
179,,VERVE TECHNOLOGIES SDN BHD,,Not Found
178,,YOUNG JUMP ANIMATION SDN BHD,,not suitable
181,,NET CARBON SDN BHD,,not suitable
180,,SP SETIA PROJECT MANAGEMENT SDN BHD,,not suitable
182,PETALING JAYA,WESTERN DIGITAL  (M) SDN BHD,"Western Digital is shutting down their Malaysian hard drive factory, affecting nearly 3,000 local employees. The plant is located in Petaling Jaya, near the capital of Kuala Lumpur",Not Found
183,,INFORCO SDN BHD,Not Found,Not Found
185,,SIME DARBY GLOBAL SERVICES CENTRE SDN BHD,,Not Found
184,,,,Not Found
186,,ESQUEI MALAYSIA SDN BHD,,no track record
188,,HEWLETT-PACKARD SDN BHD,Not Found,Not Found
187,BANDAR CASSIA,VITROX CORPORATION BERHAD,,Not Found
189,BAYAN BARU,RESONET SDN BHD,,Not Found
190,JOHOR BHARU,PROJEK SISTEMATIK SDN BHD,,Not Found
191,KUALA LUMPUR,SUPERCEED(M) SDN BHD,,Not Found
193,,MY BIZ SOLUTIONS SDN BHD,,Not Found
192,,UNIFIED COMMUNICATIONS (OHQ) SDN BHD,,Not Found
194,,,,Not Found
195,,UMW OIL & GAS,,Not Found
196,,SCAN ASSOCIATES BERHAD,,no track record
197,,WILWE SDN BHD,emailme@wilwe.com,no track record
198,,,,Not Found
199,,,,Not Found
200,,,,Not Found
201,,,,Not Found
202,,,,Not Found
203,,,,Not Found
205,,MYREN NOC,Not Found,Not Found
206,SUBANG JAYA,MAXIS SUBANG HI-TECH (MAXIS COMMUNICATION),The application for internship must made through company's website,Not Found
204,KUALA LUMPUR,NETAXIS SDN BHD,Pelajar perlu mengisi form yang disediakan di dalam website untuk membuat permohonan LI,Not Found
207,,,,Not Found
208,,PUSAT TEKNOLOGI MAKLUMAT KEDAH,,not suitable
209,,REDAJAYA SDN BHD,,not suitable
211,,FELDA WELLNESS CORPORATION SDN BHD,,no track record
210,SUBANG JAYA,DATA SOLUTIONS SDN BHD,,Not Found
212,,NINE SIX DESIGN,,not suitable
213,,CSX SOLUTION SDN BHD,,no track record
214,CYBERJAYA,SIGMA RECTRIX SYSTEMS (M) SDN BHD,Not Found,Not Found
216,,F&N ICE CREAM MANUFACTURING (M) SDN BHD,Not Found,Not Found
215,KUALA LUMPUR,ARRAY INFINITE SDN BHD,,Not Found
217,,GROUPON MALAYSIA,,Not Found
218,,TM IT COMPLEX,,no track record
219,,KPJ KLANG SPECIALIST HOSPITAL,,not suitable
220,SERDANG,GIGALINK SOLUTIONS SDN BHD,,Not Found
221,,VISTA SOLUTION SDN BHD,,Not Found
222,,RADWAG (M) SDN BHD,,not suitable
223,,HK COMP SOFTWARE (M),,no track record
225,BAYAN LEPAS,ZEBRA TECHNOLOGIES MALAYSIA SDN BHD,,Not Found
226,,,,Not Found
224,,TEKUN NASIONAL,,not suitable
229,,STAR DOMAIN SDN BHD,,no track record
227,,PLATINUM GREEN CHEMICALS SDN BHD,,Not Found
228,KUALA LUMPUR,ARDENT EDUCATIONAL CONSULTANTS,,no track record
231,,LOCUS T ONLINE,Contact Person :Chong Myap <myap0527@gmail.com>,Not Found
230,,,,Not Found
232,IPOH,DIGITAL PERAK CORPORATION HOLDINGS,Not Found,Not Found
233,,,,Not Found
234,,,,Not Found
235,SUNGAI GADUT,SAMSUNG SDI ENERGY MALAYSIA SDN BHD,Pn. Laily (nor.laily@samsung.com),Not Found
236,,,,Not Found
238,,"BAHAGIAN TEKNOLOGI MAKLUMAT, YAYASAN PAHANG",(Tugasan: Bangunkan sistem gunakan PHP atau DB.net),NOT RELEVANT TO BSK
239,KUALA LUMPUR,IBS TECHNOLOGY SDN BHD,,Not Found
237,,,,Not Found
241,,CATCH THAT BUS SDN BHD ,,no track record
240,,,,Not Found
242, PUTRAJAYA,EXTREME BROADBAND SDN. BHD.,Not Found,Not Found
246,,,,Not Found
245,,,,Not Found
243,,FINGERTEC MALAYSIA,03-80709933,Not Found
244,,DEKATKU,infor@dekatku.com,no track record
247,,TECHBASE SOLUTION SDN BHD,Not Found,Not Found
248,,,,Not Found
249,,,,Not Found
250,,DEZEEK MEDIA,admin@dezeek.com,no track record
251,,,,Not Found
252,,,,Not Found
254,,,,Not Found
253,,STREAMLINE STUDIOS MALAYSIA SDN BHD,streamline-studios.com,no track record
255,,,,Not Found
256,PETALING JAYA,HEZMEDIA INTERACTIVE SDN BHD,"03-56133771, www.hezmedia.com",Not Found
258,,,,Not Found
257,,,,Not Found
259,CYBERJAYA,MALAYSIAN GLOBAL INNOVATION & CREATIVITY CENTRE (MAGIC),,Not Found
260,,PERBADANAN PUTRAJAYA,,not suitable
261,,"GROUP OF INFORMATION TECHNOLOGY, TELEKOM MALAYSIA BERHAD",Not Found,Not Found
262,CYBERJAYA,SOFT SOLVERS SOLUTIONS SDN BHD,Not Found,Not Found
264,,KRU STUDIOS SDN BHD,emiza.zulkifli@krustudios.com,not suitable
265,,,,Not Found
266,,,,Not Found
263,,INTEGRATED COMMERCE SDN BHD,,Not Found
267,,UNISON SYSTEMS,info@unisonsystems.com.my,Not Found
268,,,,Not Found
269,,,,Not Found
270,,SAPURA KENCANA PETROLEUM,NOOR AZAH MOKHTAR,not suitable
271,,SARAWAK ENERGY BERHAD,085-211360,Not Found
272,,,,Not Found
276,,,,Not Found
275,,,,Not Found
273,,,,Not Found
274,,DAYANG ENTERPRISE SDN BHD,inquiry@desb.net,Not Found
277,,ELITE ANIMATION SDN BHD,Not Found,no track record
278,,,,Not Found
279,,,,Not Found
280,SETAPAK,AIDAN GROUP,,Not Found
281,,,,Not Found
282,,,,Not Found
284,,,,Not Found
283,,WAU ANIMATION,thewaufactor@wau.my,not suitable
285,,,,Not Found
286,,SHADOW HEALTH,KAREN OAKEY,Not Found
287,,,,Not Found
288,,,,Not Found
289,,,,Not Found
290,KUALA LUMPUR,GENTING MALAYSIA BERHAD,Not Found,Not Found
291,,,,Not Found
292,,,,Not Found
293,,PENANG PORT SDN BHD,www.penangport.com,Not Found
294,,,,Not Found
298,,,,Not Found
295,,,,Not Found
296,BANDAR BARU BANGI,ABDAKTECH SDN BHD,,no track record
297,,,,Not Found
299,,,,Not Found
300,,DIGITAL DURIAN,digitaldurian@gmail.com,not suitable
301,,,,Not Found
302,,,,Not Found
304,KUALA LUMPUR,FELDA PRODATA SYSTEM SDN BHD,,Not Found
303,ALOR SETAR,LEMBAGA HASIL DALAM NEGERI (CAWANGAN ALOR SETAR),Not Found,Not Found
306,,,,Not Found
305,,,,Not Found
307,CYBERJAYA,RANIA RESOURCES SDN BHD,,Not Found
308,SUBANG JAYA,RED ANT TECHNOLOGY SDN BHD,The application for internship must made through company's website,Not Found
309,KUALA LUMPUR,IDEAONE SYSTEM SOLUTIONS SDN BHD,,Not Found
310,KUALA LUMPUR,TNG DIGITAL SDN BHD,The application for internship programme must made through company's website or linkedln. INTERNSHIP NOT AVAILABLE FOR NOW (UPDATE NOVEMBER 2023),Not Found
311,SEOUL,PAYGATE CO LTD,No info about internship / career. Student are advise to contact the company before send the application. ,Not Found
312, KUALA LUMPUR,FELDA GLOBAL VENTURES HOLDINGS BERHAD (FGV),,Not Found
314,,,,Not Found
315,,INTERNSHIP TALENT & PERFORMANCE MANAGEMENT GROUP HUMAN CAPITAL ,,not suitable
313,,,,Not Found
316,AYER KEROH,MELAKA ICT HOLDINGS SDN BHD (MICTH),Formerly registered in LI System as K-ECONOMY INCUBATOR,Not Found
317,CYBERJAYA,AIZO DIGITAL WORKS SDN BHD,,no track record
318,,,,Not Found
319,,,,Not Found
320,CYBERJAYA,BRILLIANCE MSC SDN BHD (PROJECT OFFICE CO PLACE 2),The application must made through company's website. ,Not Found
321,,,,Not Found
322,,,,Not Found
323,KUANTAN,BASF PETRONAS CHEMICALS SDN BHD,The application of internship must made through company's website,Not Found
325,,,,Not Found
324,,,,Not Found
326,SERDANG,AKADEMI SUKAN,NO ALLOWANCE,no longer taking interns
328,SEREMBAN,LEMBAGA HASIL DALAM NEGERI MALAYSIA (CAWANGAN SEREMBAN),Permohonan hanya boleh dibuat menggunakan CareerHASiL sahaja. Proses dan layanan terhadap permohonan hanya akan dibuat apabila iklan dikeluarkan.,Not Found
327,,ONE RIVER POWER SDN BHD,,Not Found
329,,BINA DARULAMAN BERHAD,nizar@bdb.com.my,no track record
330,IPOH,AIDINA (M) SDN. BHD.,Student have to contact company to get info regarding internship program and how to apply,Not Found
331,KERTEH,PETRONAS CHEMICALS DERIVATIVES SDN. BHD.,The application for internship must made through petronas website,Not Found
332,PUCHONG,EXABYTES,The application for internship must made through company's website,Not Found
333,,EXABYTES GROUP OF COMPANIES,,Not Found
337,,TM NAR,Not Found,NOT RELEVANT TO BSK
339,,NIBIRU PICTURES SDN.BHD,"RM 150, Breakfast and lunch",not suitable
338,PETALING JAYA,HILTI ASIA IT SERVICES,The application for internship must made through website (CGPA 3.5),Not Found
340,,,,Not Found
335,,,,Not Found
336,,CODON GENOMICS SDN BHD,RM 400,no track record
334,PENANG,MOTOROLA SOLUTIONS (M) SDN BHD,The application for internship must made through website. ,Not Found
341,SERI KEMBANGAN,ALM CORE SOLUTIONS SDN. BHD,,Not Found
343,,GATES,,Not Found
342,,,,Not Found
348,,EBUMI,Mr Steven Chua Kew Cheng,Not Found
344,,MYDIN,Nor Ismawanie Ismail,not suitable
345, BANDAR BARU BANGI,TERATO TECH SDN BHD,The application for internship must made through company's website,Not Found
346,,,,Not Found
347,,UNIVERSITI ISLAM MALAYSIA,Not Found,Not Found
349,,GLOCO MALAYSIA SDN BHD,"hp 0173546008, Athinrmalaysia@gloco.com",Not Found
350,,WORLDLINE,Amalyn Chai .amalyn.chai@worldline.com,no track record
351,SHAH ALAM,MRS RESOURCES SDN BHD,,Not Found
352,SEPANG,MALAYSIA AIRPORTS HOLDINGS BERHAD,The application for internship must made through website,Not Found
353,,"GATES IT SOLUTION SDN BHD, CAW. JOHOR",,Not Found
356,,WZS TECHNOLOGIES SDN BHD,,not suitable
355,KUALA LUMPUR,PETROLIAM NASIONAL BERHAD (PETRONAS),The application for internship must made through company's website.,Not Found
358,BANDAR BARU BANGI,SONY EMCS (MALAYSIA) SDN. BHD.,Not Found,Not Found
354,SUBANG JAYA,MESINIAGA BERHAD,Not Found,Not Found
357,,KELAB BOLASEPAK FELDA UNITED,,not suitable
359,BANDAR BARU BANGI,IP FOKUS SDN. BHD. (565083-V),,Not Found
360,GURUN,PETRONAS CHEMICALS FERTILIZER (KEDAH) SDN BHD	,The application for internship must made through petronas website,Not Found
361,,IS SOLUTION AND CONSULTANCY (M) SDN BHD,,Not Found
362,,ROOTS COMMUNICATIONS SDN BHD,,Not Found
363,KUALA LUMPUR,PRICEWATERHOUSECOOPERS (PWC),The application for internship must made through company's website. INTERNSHIP NO OPENINGS FOR NOW AND INTERNSHIP NOT RELATED FOR COMPUTER SYSTEM RELATED POSITION (UPDATE NOVEMBER 2023),Not Found
364,BAYAN LEPAS,"MESINIAGA BERHAD (MUTIARA MESINIAGA - NORTHERN BRANCH, PENANG)",,Not Found
368,BANDAR BARU BANGI,SILENTMODE SDN. BHD.,,Not Found
367,,TECHCAPITAL MYRO,info@robotics-malaysia.com,change to cworks technologies sdn bhd
365,KUALA LUMPUR,PETRONAS LUBRICANTS  INTERNATIONAL (PLI) SDN BHD,The application for internship must made through linkedin,Not Found
366,KULIM,INTEL MALAYSIA KEDAH,https://jobs.intel.com/page/show/internships  <-- pelajar perlu mohon secara online,Not Found
369,AMPANG,TRAINING CUBE INTERNATIONAL SDN. BHD.,,Not Found
371,SERI KEMBANGAN,VIAMED SDN. BHD,,Not Found
370,CYBERJAYA,APPCABLE SDN BHD,Not Found,Not Found
372,,"MIHRAB HOTEL, PUTRAJAYA",,not suitable
373,ISKANDAR PUTERI,COOL CODE SDN BHD,The application for internship program must made through company's website. ,Not Found
374,CYBERJAYA,SICPA PRODUCT SECURITY SDN. BHD,The application of internship must made through company's website,Not Found
375,SERDANG ,PUSAT PEMBANGUNAN MAKLUMAT DAN KOMUNIKASI (IDEC),Not Found,Not Found
378,KUALA LUMPUR,PETRONAS DAGANGAN BERHAD	,Student need contact the company to get the information regarding internship program / to apply the internship. ,Not Found
377,,TENAGA NASIONAL BERHAD,Puan Haslina Mat Jusak 03 21802288,not suitable
376,,PAYSYS (M) SDN BHD,Officer: 03- 92008001,Not Found
379,,WENBIT SDN BHD,Not Found,not suitable
381,,TAIKO PLANTATIONS SDN BHD,,Not Found
380,CYBERJAYA,BIT SOFTWARE (M) SDN BHD,,Not Found
383,,BLUE OCEAN DATA SOLUTIONS SDN.BHD.,Not Found,ada kontrak 2 tahun bekerja. Tidak sesuai
382,W.P. KUALA LUMPUR,4REAL RECORDING & ENTERTAINMENT SDN. BHD.,,Not relevant to CS
384,,OPDEX ENGINEERING SDN BHD,,NOT RELEVANT TO BSK
387,SERI KEMBANGAN,MUTIARA I-TECH SDN BHD,,Not Found
385,,JUST MOBILE SDN BHD,,NOT RELEVANT TO BSK
389,PETALING JAYA,COMPUREX CORPORATION SDN BHD,Not Found,Not Found
386,,CONTRAS CAPITAL SDN BHD,,NOT RELEVANT TO CS
388,ALOR GAJAH,SUNPOWER MALAYSIA MANUFACTURING SDN BHD,,Tiada maklumat website dan penempatan intern
391,SHAH ALAM,PANASONIC MANUFACTURING MALAYSIA BERHAD,Not Found,Not Found
390,BACHOK,"PUSAT KOMPUTERAN DAN INFORMATIK, UNIVERSITI MALAYSIA KELANTAN (UMK)",,Not Found
392,,FMZ NET SOLUTIONS ,,NOT RELEVANT TO BSK
394,,ALLIED VIEW,,no track record
393,PUCHONG,REDTONE,,Not Found
395,PETALING JAYA,KOLLECT SYSTEM SDN BHD,Not Found,Not Found
396,,SETIA NUSANTARA ENGINEERING,,Not Found
397,PETALING JAYA,PHILLIP SOLUTIONS PLT,The application for internship/jobs must made through jobstreet,Not Found
398,,FMZ NET SOLUTIONS (KELANTAN),,not suitable for degree level.
401,,,,Not Found
400,KUALA LUMPUR,BRILLIANCE MSC SDN BHD (MAIN OFFICE),,Not Found
399,CYBERJAYA,TIMETEC COMPUTING (COMMUNITY) SDN BHD ,The application for internship must made through website. Formerly known as TIMETEC COMPUTING SDN BHD.,Not Found
403,,,,Not Found
402,,,,Not Found
404,,,,Not Found
405,BANDAR BARU SRI PETALING,GAME TAIKO (KL) SDN BHD,The application must made through companies' website,Not Found
406,,GAME TAIKO (CYBERJAYA),zainal@gametaiko.com,Not Found
408,,,,Not Found
407,,,,Not Found
409,,"BLUE OCEAN DATA SOLUTIONS SDN. BHD, (JOHOR)",eileen@blueoceands.com,not suitable. contract issue
411,,LAVA SYSTEM SDN BHD,Nur Syukri Zakaria (CEO),Not Found
410,,,,Not Found
412,,"UNIT PERJAWATAN, PERKHIDMATAN DAN PENCEN",jpnns.moe.gov.my,Not Found
413,,"GATES IT SOLUTION,CAW. CYBERJAYA",,Not Found
414,,,,Not Found
415,,"GATES IT SOLUTION, MTDC",,Not Found
418,,PRYM CONSUMER MALAYSIA SDN. BHD,Not Found,Not Found
419,,TELEKOM MALAYSIA BERHAD (BUTTERWORTH),Not Found,Not Found
417,PETALING JAYA,INFOPRO SDN BHD ,,Not Found
416,KUALA LUMPUR,PETRONAS CORPORATE STRATEGY & RISK,The application for internship must made through company's website,Not Found
420,SHAH ALAM,ACCESS TECHNO SOLUTIONS MALAYSIA,Sherina Bt Mohamed Isak Business Admin / HR,Not Found
421,SINGAPORE,DAVIDSON BUSINESS SYSTEMS PTE LTD ,Not Found,Not Found
423,,INSTITUT PENYELIDIKAN HIDRAULIK KEBANGSAAN MALAYSIA (NAHRIM),Pn. Harlisa Zulkifli / Pn. Siti Aminah Suboh,no track record
424,,QURANIC GENERATION TEAM,alctraining1990@gmail.com,not suitable
422,,RAKUTEN,Not Found,Not Found
425,BANDAR KINRARA,CWORKS TECHNOLOGIES SDN BHD,,Not Found
426,,PLEXUS,"IT & Engineering, allowances RM1000 monthly",Not Found
428,,TECH MAHINDRA ICT SERVICES ( MALAYSIA ) SDN. BHD,,Not Found
427,,CARSEM (M) SDN. BHD,megatniza@carsem.com,no track record
429,PUCHONG,INTEKSOFT SDN. BHD,,Not Found
430, KOTA BHARU,INCUBE TECHNOLOGY SDN BHD,,Not Found
431,,SYNTAX MEDIA (M) SDN BHD  (1167211-P),Email: syntax@eniaga.my,Not Found
433,KUCHING,DATA SOLUTION SDN. BHD.,Not Found,Not Found
434,,YAYASAN PEMBANGUNAN USAHAWAN,Bhgn IT,no track record
432,,INJAZAT DATA SYSTEMS,no allowance provided,Not Found
435,,UMP HOLDINGS,,not suitable
436, KUALA LUMPUR,PRESTIGE ATLANTIC SDN BHD,,Not Found
437,,RAZ MEDIA SDN BHD,,not suitable
438,,UNITED SWEETHEARTS GARMENT SDN BHD,Not Found,Not Found
440,,MEDIANETIC SDN BHD,,Not Found
439,BANDAR BARU BANGI,CASD MEDICAL SDN. BHD,,Not Found
441,"SRI PETALING, ",CATZ MEDIA ANALYTICS SDN. BHD.,,Not Found
444,KUALA LUMPUR,VANTAGE POINT CONSULTING SDN BHD,,Not Found
442,,INVENTCUBE SDN BHD,email : ghadaffi.h@gmail.com,Not Found
443,KUALA LUMPUR,IP SERVERONE SOLUTIONS SDN BHD,Not Found,Not Found
447,,MESRA WEB,emel : mesraweb@gmail.com,NOT RELEVANT TO BSK
445,,ROBIN RESOURCES (MALAYSIA) SDN. BHD,,Not Found
446,PETALING JAYA,GREENWAVE MSC SDN BHD,,Not Found
448,,SUNWAY INTEGRATED PROPERTIES SDN BHD,,Not Found
450,,WORLDWARD CONSTRUCTION SDN BHD,worldwardconstruction@gmail.com,NOT RELEVANT TO BSK
449,SEREMBAN,JABATAN PENDIDIKAN NEGERI SEMBILAN,,Not Found
451,,PENANG SEAGATE INDUSTRIES (M) SDN BHD,,Not Found
452,KUALA LUMPUR,QMS INNOVATIVE SOLUTIONS SDN BHD,,Not Found
453,CYBERJAYA,BASIC INCEPTION SDN BHD,,Not Found
454,BUKIT JALIL,SUPERCEED (M) SDN. BHD,,Not Found
455,,INTER XS SDN BHD,yushanis@interxs.com.my,no track record
458,,MAKRO BARU SDN BHD,www.visamalaysia.org,Not Found
456,BUKIT JALIL,MOVING WALLS SDN BHD,The application for internship must made through website,Not Found
457,KUALA LUMPUR,ATD SOLUTION (M) SDN. BHD,Please contact the company to get more info regarding internship program,Not Found
459,,KOLEJ YAYASAN PAHANG,norazian@kyp.edu.my,NOT RELEVANT TO BSK
460,KUALA LUMPUR,INTEGRO TECHNOLOGIES SDN. BHD.,,Not Found
461,,MYHOMME GROUP RESOURCES M SDN. BHD,hr@myhommegroup.com,no track record
463,,PLEX SOLUTIONS,shafiq@plexol.com,Not Found
462,KUALA LUMPUR ,ITOSYS SDN BHD,,Not Found
464,,PUSAT SUKAN,NO ALLOWANCE,no longer taking interns
465,PETALING JAYA,VALLEY REIGN SDN BHD,,Not Found
468,,BIJAK IT DOT COM,hjdzul68@gmail.com,NOT RELEVANT TO BSK
467,,BANK SIMPANAN NASIONAL,,NOT RELEVANT TO BSK
466,,NM13 SDN BHD ,mail@nm13.com,Not Found
469,,FAKULTI PERUBATAN VETERINAR,,not suitable
470,,TELEKOM MALAYSIA BERHAD (CALL CENTER),,NOT RELEVANT TO BSK
471,CYBERJAYA,TANJAK TECHNOLOGIES SDN BHD,,Not Found
472,,KOLEJ MATRIKULASI PAHANG,,NOT RELEVANT TO BSK
473,,ENORMOUS ACHIEVEMENT SDN. BHD,,NOT RELEVANT TO CS
474,,MAJLIS PERBANDARAN SANDAKAN,,Not Found
476,BANDAR BARU BANGI,SANDS CONSULTING,,Not Found
475,,CTRM AERO COMPOSITE SDN BHD,,not suitable. lack of ICT supervision. mostly males work here. 
478,,CELEX MEDIA SDN. BHD.,Contact person: Mr Daniel L. W. Loh (0122337339),no track record
477,SERI KEMBANGAN,ANT INTERNET SDN BHD,The application for intern also can be made through website,Not Found
479,,,,Not Found
481,,CONSOLSYS SDN. BHD.,,no track record
480,,ITECH WORLDWIDE SDN. BHD.,,Not Found
482,KUALA LUMPUR,VISION TECHNOLOGY CONSULTING SDN BHD (VTC HOLDING),,Not Found
483,,LABUAN OFFSHORE FINANCIAL SERVICES AUTHORITY (LOFSA),career@labuanfsa.gov.my,Not Found
484,,,,Not Found
485,LABUAN,PERBADANAN LABUAN,,Not Found
487,,PEJABAT DAERAH DAN TANAH PORT DICKSON,NO ALLOWANCE,Not Found
486,CYBERJAYA,RESOLV TECHNOLOGIES SDN BHD,Based on google the company is temporarily closed,Not Found
488,DUBAI,WORLDSTAR INFORMATION TECHNOLOGY LLC,,Not Found
489,,NIMBUS CLOUD SERVICES,,not suitable
491, CYBERJAYA,ME-TECH SOLUTION SDN BHD,,Not Found
